"baseMean.AR" "log2FoldChange.AR" "lfcSE.AR" "stat.AR" "pvalue.AR" "padj.AR" "baseMean.HOX" "log2FoldChange.HOX" "lfcSE.HOX" "stat.HOX" "pvalue.HOX" "padj.HOX"
"AARS2" 1217.76925555344 -0.353990642503991 0.224375011871342 -1.57767408924739 0.114640501825206 0.288741161824269 5.74350132586383 -0.232185126675546 0.604244130818798 -0.384257148449115 0.700787865068186 1
"AARSD1" 2286.56914396327 -0.189594530339644 0.100815915087451 -1.8806011945156 0.0600261891368481 0.184006494738528 41.2931189646763 0.604468447756619 0.234804403252135 2.5743488596657 0.0100428953966233 0.0678046109649047
"AASDH" 916.122351946645 -0.0701970392550989 0.138863584310432 -0.505510783145075 0.613200126695922 0.800909274439358 2.9993971015889 0.0192782635235827 0.826551409883484 0.0233237319458451 0.981392041506028 1
"AASDHPPT" 2462.88403078606 -0.271640674267552 0.0886519259647205 -3.06412603349027 0.00218306919586231 0.014217868562326 20.8572552318813 -0.310588797140212 0.322426968869741 -0.963284176348439 0.335404931996818 0.677697481684925
"AASS" 680.883636710607 0.225617186787541 0.240922941644396 0.936470330503245 0.349031081591364 0.581362490513068 4.25626409910832 0.712117525739504 0.711314508547358 1.00112892002412 0.316764485052639 1
"AATF" 2589.61734902612 -0.199120965534213 0.144892824313994 -1.37426381518178 0.169359795590052 0.372098173816349 29.3613238362755 -0.0913531299571007 0.277748166468738 -0.328906329494647 0.742226490010228 0.912225773735894
"AATK" 1686.23637369514 0.167437616571031 0.214715160508307 0.779812735042308 0.435501109259292 0.662623053982248 0.999799033862967 0.0192769371053175 1.4035278561527 0.0137346309307738 0.989041694562375 1
"ABAT" 2578.59191766972 0.461801663313146 0.131796778884115 3.50389187977951 0.000458511477432279 0.00391906913601699 7.63939775917509 1.16349912744909 0.550158518324255 2.11484342911391 0.0344432940337322 1
"ABCA1" 243.619231734108 1.30605484921562 0.43138154224997 3.02760948556951 0.00246496402821937 0.0155969487428855 0 0 NA NA NA 1
"ABCA10" 6.46938611164681 -0.822910499732482 1.08828557920988 -0.756153086517913 0.449557416475278 0.675084460562657 0 0 NA NA NA 1
"ABCA12" 451.290418276385 0.831810469126569 0.270905080132837 3.0704867871754 0.00213710141808486 0.0139877363546044 0 0 NA NA NA 1
"ABCA13" 4.32563060758416 -0.204967832212418 1.62373066436441 -0.126232654658062 0.899547763427042 1 0 0 NA NA NA 1
"ABCA2" 6938.86643056194 0.384535944570216 0.201862500154621 1.90493996792704 0.056787875071518 0.177879004713106 19.1435946744922 0.495271648266702 0.340056741478123 1.45643825825627 0.145271505889514 0.436443159224033
"ABCA3" 2446.89720584134 0.420436115515883 0.261407257778204 1.60835670397725 0.107757078308481 0.277197489857584 8.13046023456018 0.331865971006914 0.510987502317773 0.649460054309769 0.51604105787314 0.807293259409541
